nickname,pet_name,pet_type1,pet_type2,pet_weight,pet_age,trouble1,trouble2,trouble3
찔이,찔이,1,시츄,4,8,치아/구강,피부/모질,행동
찡찡이,찡찡이,0,믹스묘,8,10,노령,비만,
차니,차니,1,진돗개,7.7,3,비만,,
차송1,차송1,0,코리안 쇼트헤어,3.4,13,노령,눈/귀,신장/요로
참치2,참치2,1,말티즈,4,7,노령,,
채리3,채리3,1,말티즈,1.68,5,뼈/관절,,
천명,천명,1,믹스견,13,5,알러지,행동,피부/모질
첫째,첫째,0,코리안 쇼트헤어,5,5,장,알러지,치아/구강
청이,청이,0,랙돌,0.9,3,알러지,장,행동
청하1,청하1,1,말티즈,3.1,4,뼈/관절,,
청하2,청하2,1,말티즈,3,4,알러지,뼈/관절,피부/모질
청하3,청하3,1,말티즈,3,5,알러지,피부/모질,
청하4,청하4,1,말티즈,3,5,노령,뼈/관절,피부/모질
청하6,청하6,1,말티즈,3,5,알러지,뼈/관절,
체리1,체리1,1,시츄,5,3,장,치아/구강,뼈/관절
체리2,체리2,1,기타,35,3,비만,행동,
체리3,체리3,1,요크셔테리어,2,17,노령,눈/귀,뼈/관절
체리4,체리4,0,믹스묘,4,5,치아/구강,호흡기,피부/모질
초롱1,초롱1,1,말티즈,3.3,4,장,뼈/관절,
초롱2,초롱2,1,말티즈,3.7,9,노령,뼈/관절,눈/귀
초롱4,초롱4,1,푸들,6,11,노령,알러지,
초롱5,초롱5,1,요크셔테리어,2,18,노령,장,뼈/관절
초롱이1,초롱이1,1,말티즈,5,3,장,,
초롱이2,초롱이2,1,포메라니안,3,3,치아/구강,뼈/관절,
초롱이3,초롱이3,1,포메라니안,2,4,치아/구강,피부/모질,
초롱이4,초롱이4,1,믹스견,3.2,8,비만,알러지,피부/모질
초코1,초코1,1,말티즈,3,1,알러지,장,심장
초코11,초코11,1,시츄,5,5,치아/구강,눈/귀,뼈/관절
초코12,초코12,1,믹스견,4,6,치아/구강,행동,
초코16,초코16,0,샴,2,10,노령,장,
초코17,초코17,1,푸들,4,10,노령,치아/구강,뼈/관절
초코19,초코19,1,푸들,3,12,노령,치아/구강,눈/귀
초코2,초코2,0,노르웨이숲,6,2,신장/요로,심장,
초코20,초코20,1,말티즈,3,13,노령,치아/구강,눈/귀
초코22,초코22,1,닥스훈트,8,13,노령,치아/구강,눈/귀
초코24,초코24,0,샴,3,17,노령,신장/요로,
초코3,초코3,0,노르웨이숲,6,2,장,신장/요로,
초코4,초코4,0,러시안 블루,6,2,장,심장,
초코6,초코6,0,샴,3,3,장,치아/구강,눈/귀
초코7,초코7,1,요크셔테리어,2,4,눈/귀,뼈/관절,
초코8,초코8,1,푸들,7,4,알러지,장,뼈/관절
초코9,초코9,1,믹스견,8,5,행동,피부/모질,
초콜릿,초콜릿,1,시베리안 허스키,18,4,행동,,
초파,초파,1,보더 콜리,3.6,1,뼈/관절,,
최뽀미,최뽀미,1,포메라니안,3,1,치아/구강,눈/귀,뼈/관절
최알콩,최알콩,1,말티즈,5,2,치아/구강,눈/귀,뼈/관절
최양,최양,0,코리안 쇼트헤어,4,8,노령,치아/구강,피부/모질
최장군,최장군,0,믹스묘,6,2,치아/구강,눈/귀,호흡기
쵸,쵸,1,페키니즈,5,13,노령,눈/귀,뼈/관절
추추,추추,1,시츄,6,3,피부/모질,,
추탱,추탱,1,시츄,8,2,행동,,
춘심이,춘심이,0,코리안 쇼트헤어,6,5,알러지,치아/구강,
츄,츄,1,푸들,3.3,1,알러지,,
치와,치와,1,치와와,2,1,비만,장,행동
치이,치이,0,먼치킨,8,4,신장/요로,행동,치아/구강
치즈1,치즈1,1,믹스견,3.5,1,치아/구강,행동,
치즈3,치즈3,0,믹스묘,4,1,치아/구강,,
치즈5,치즈5,1,믹스견,3.5,1,치아/구강,,
치즈6,치즈6,0,코리안 쇼트헤어,5,2,피부/모질,,
치즈7,치즈7,0,러시안 블루,8,4,비만,치아/구강,눈/귀
치즈태비,치즈태비,0,코리안 쇼트헤어,10,5,비만,치아/구강,
치치1,치치1,1,웰시 코기,8,1,알러지,치아/구강,피부/모질
치치2,치치2,0,러시안 블루,2.5,2,행동,,
치치3,치치3,0,먼치킨,3.7,3,피부/모질,장,행동
치치4,치치4,0,코리안 쇼트헤어,4,15,노령,신장/요로,치아/구강
치치5,치치5,0,러시안 블루,4,16,노령,신장/요로,피부/모질
치토,치토,1,비숑 프리제,4,1,눈/귀,뼈/관절,
카고,카고,1,시츄,2,2,행동,뼈/관절,
카리떼,카리떼,1,프렌치 불독,3,3,비만,뼈/관절,치아/구강
카오,카오,1,요크셔테리어,3,2,알러지,행동,피부/모질
카키,카키,0,먼치킨,4.3,1,비만,,
칸쵸1,칸쵸1,0,랙돌,4,7,치아/구강,눈/귀,
칸쵸2,칸쵸2,1,푸들,6,8,노령,피부/모질,뼈/관절
캐리1,캐리1,1,믹스견,5,7,행동,,
캐리2,캐리2,1,믹스견,5,7,비만,,
캐리3,캐리3,1,믹스견,5,7,치아/구강,,
캔디1,캔디1,1,시츄,4,5,노령,치아/구강,
캔디2,캔디2,1,달마시안,12,6,노령,,
커피,커피,1,포메라니안,3.5,2,알러지,피부/모질,
케일,케일,0,샴,8,5,알러지,비만,
코기2,코기2,1,웰시 코기,8.5,2,뼈/관절,장,비만
코기3,코기3,0,먼치킨,6.8,5,알러지,피부/모질,
코기4,코기4,1,웰시 코기,12,7,노령,비만,치아/구강
코니1,코니1,1,보더 콜리,16,1,뼈/관절,,
코모,코모,0,페르시안,5,2,행동,피부/모질,
코미,코미,0,코리안 쇼트헤어,5,11,노령,장,치아/구강
코추,코추,0,아메리칸 쇼트헤어,5,5,알러지,신장/요로,
코코1,코코1,0,코리안 쇼트헤어,4,1,피부/모질,,
코코10,코코10,0,스코티시 폴드,13,3,행동,,
코코11,코코11,1,말티즈,5,3,노령,장,치아/구강
코코12,코코12,0,스코티시 폴드,4.3,3,비만,알러지,신장/요로
코코14,코코14,1,푸들,6,3,비만,치아/구강,
코코15,코코15,1,포메라니안,3,3,알러지,,
코코17,코코17,1,믹스견,34,4,비만,행동,눈/귀
코코18,코코18,0,샴,3.7,4,행동,,
코코2,코코2,0,먼치킨,4,2,뼈/관절,치아/구강,비만
코코20,코코20,1,치와와,4.8,5,비만,뼈/관절,
코코21,코코21,1,기타,11,5,장,치아/구강,눈/귀
코코22,코코22,1,푸들,5,5,눈/귀,피부/모질,
코코23,코코23,1,포메라니안,5,5,비만,행동,뼈/관절
코코24,코코24,1,말티즈,6,7,비만,알러지,치아/구강
코코25,코코25,1,푸들,7,7,비만,호흡기,
코코27,코코27,1,요크셔테리어,3,8,노령,알러지,피부/모질
코코29,코코29,1,푸들,6,9,치아/구강,눈/귀,피부/모질
코코3,코코3,1,웰시 코기,3.4,2,알러지,장,뼈/관절
코코30,코코30,1,말티즈,3.2,10,노령,심장,치아/구강
코코31,코코31,1,믹스견,6.7,10,노령,치아/구강,
코코32,코코32,1,말티즈,2,10,노령,치아/구강,뼈/관절
코코33,코코33,1,푸들,2.7,14,피부/모질,심장,호흡기
코코35,코코35,1,푸들,2.7,14,노령,뼈/관절,호흡기
코코36,코코36,0,러시안 블루,4,17,노령,알러지,
코코37,코코37,0,코리안 쇼트헤어,8,2,비만,,
코코38,코코38,0,코리안 쇼트헤어,7.8,12,노령,신장/요로,치아/구강
코코4,코코4,0,스코티시 폴드,5,2,비만,장,치아/구강
코코5,코코5,0,러시안 블루,4,2,뼈/관절,치아/구강,비만
코코6,코코6,1,푸들,7.7,2,비만,치아/구강,뼈/관절
코코7,코코7,0,스코티시 폴드,3.1,2,알러지,치아/구강,눈/귀
코코8,코코8,1,웰시 코기,10.4,2,장,행동,뼈/관절
코코9,코코9,0,아메리칸 쇼트헤어,7,3,치아/구강,피부/모질,
콘스탄틴,콘스탄틴,0,아메리칸 쇼트헤어,6,5,심장,행동,치아/구강
콜라3,콜라3,1,믹스견,10,7,치아/구강,뼈/관절,피부/모질
콜라4,콜라4,1,푸들,4,13,노령,알러지,눈/귀
콜락이,콜락이,1,포메라니안,5,4,비만,심장,뼈/관절
콩2,콩2,1,포메라니안,2,3,피부/모질,,
콩3,콩3,1,믹스견,15,4,뼈/관절,,
콩4,콩4,0,샴,4,4,장,치아/구강,뼈/관절
콩6,콩6,1,믹스견,4,18,노령,장,
콩식,콩식,1,미니어쳐 핀셔,6,2,뼈/관절,피부/모질,
콩이1,콩이1,0,코리안 쇼트헤어,6,2,행동,치아/구강,피부/모질
콩이11,콩이11,1,푸들,3.5,7,비만,알러지,피부/모질
콩이13,콩이13,1,말티즈,3,8,노령,눈/귀,뼈/관절
콩이14,콩이14,1,푸들,3,8,노령,심장,
콩이15,콩이15,1,요크셔테리어,4,9,심장,뼈/관절,피부/모질
콩이16,콩이16,1,말티즈,3,10,뼈/관절,피부/모질,
콩이17,콩이17,1,믹스견,7,10,노령,비만,뼈/관절
콩이18,콩이18,1,말티즈,5,10,노령,비만,심장
콩이19,콩이19,1,푸들,5,10,노령,알러지,장
콩이2,콩이2,1,푸들,2,2,눈/귀,,
콩이3,콩이3,1,포메라니안,2,3,알러지,장,
콩이5,콩이5,1,말티즈,4,4,피부/모질,치아/구강,알러지
콩이6,콩이6,1,말티즈,4,5,행동,뼈/관절,
콩이7,콩이7,1,시바견,8,5,행동,치아/구강,
콩이9,콩이9,1,말티즈,4,5,행동,뼈/관절,치아/구강
콩지,콩지,1,말티즈,2,5,호흡기,,
콩콩이1,콩콩이1,1,시츄,5,1,치아/구강,,
콩콩이2,콩콩이2,0,믹스묘,5,4,알러지,장,
쿄쿄,쿄쿄,0,스코티시 폴드,3,2,뼈/관절,,
쿠앤크,쿠앤크,1,달마시안,23,4,노령,피부/모질,뼈/관절
쿠쿠,쿠쿠,0,샴,4,3,피부/모질,,
쿠키1,쿠키1,1,말티즈,3.3,1,장,,
쿠키10,쿠키10,1,믹스견,5,6,행동,,
쿠키11,쿠키11,1,요크셔테리어,3,10,노령,치아/구강,피부/모질
쿠키12,쿠키12,1,푸들,3,10,노령,장,신장/요로
쿠키13,쿠키13,1,말티즈,3,11,노령,뼈/관절,
쿠키14,쿠키14,1,믹스견,4,18,노령,뼈/관절,피부/모질
쿠키4,쿠키4,1,믹스견,10,5,행동,치아/구강,
쿠키6,쿠키6,0,스핑크스,6.7,5,장,치아/구강,
쿠키7,쿠키7,0,코리안 쇼트헤어,5,5,알러지,눈/귀,
쿠키8,쿠키8,1,말티즈,5.5,6,치아/구강,눈/귀,피부/모질
쿠키9,쿠키9,1,스피츠,5,6,행동,,
쿤1,쿤1,1,웰시 코기,4.5,3,비만,,
쿤2,쿤2,1,웰시 코기,4,3,장,비만,
쿤3,쿤3,1,푸들,8,6,눈/귀,,
큐티,큐티,0,페르시안,6,4,비만,뼈/관절,피부/모질
크롱,크롱,1,말티즈,6,7,비만,알러지,치아/구강
크리스티나1,크리스티나1,1,요크셔테리어,2.8,11,노령,비만,눈/귀
크림1,크림1,1,스피츠,5,6,행동,,
크림3,크림3,0,터키시 앙고라,7,10,노령,비만,장
키조,키조,0,맹크스,2.6,2,알러지,,
키키1,키키1,0,스코티시 폴드,4.3,3,비만,알러지,신장/요로
킹1,킹1,1,말티즈,4,2,눈/귀,뼈/관절,피부/모질
킹2,킹2,0,벵갈,7,8,장,,
타미,타미,0,코리안 쇼트헤어,6,2,비만,치아/구강,호흡기
타투,타투,0,믹스묘,18,12,노령,신장/요로,뼈/관절
탄,탄,0,브리티시 쇼트헤어,2,1,노령,비만,
탄이3,탄이3,1,포메라니안,4,1,비만,,
탄이4,탄이4,1,웰시 코기,16,4,비만,피부/모질,
탕이,탕이,1,믹스견,4,6,치아/구강,행동,
태민,태민,1,말티즈,6,8,노령,치아/구강,
태산,태산,1,기타,9,6,비만,치아/구강,눈/귀
태양이,태양이,1,포메라니안,5,11,노령,눈/귀,피부/모질
탭이,탭이,0,터키시 앙고라,4,4,치아/구강,,
탱고,탱고,1,말티즈,3,10,노령,치아/구강,뼈/관절
탱이,탱이,1,말티즈,5,8,노령,비만,피부/모질
테리1,테리1,1,요크셔테리어,6,9,행동,,
토로,토로,1,푸들,5,6,치아/구강,눈/귀,뼈/관절
토루,토루,1,말티즈,4,2,행동,,
토르1,토르1,1,포메라니안,3,1,비만,알러지,치아/구강
토르3,토르3,1,기타,9,3,행동,치아/구강,뼈/관절
토리1,토리1,1,푸들,3.5,1,뼈/관절,알러지,
토리2,토리2,1,푸들,4,3,비만,치아/구강,뼈/관절
토리3,토리3,0,코리안 쇼트헤어,5.5,3,비만,신장/요로,피부/모질
토리4,토리4,0,믹스묘,10.9,6,알러지,,
토리5,토리5,1,말티즈,5,9,눈/귀,피부/모질,
토바,토바,0,코리안 쇼트헤어,13,3,치아/구강,,
토토2,토토2,1,말티즈,2,2,행동,치아/구강,
토토3,토토3,1,말티즈,2.7,3,장,,
토토4,토토4,1,포메라니안,3,3,행동,뼈/관절,
토토5,토토5,1,시츄,7,8,노령,비만,뼈/관절
통이,통이,1,포메라니안,4,2,호흡기,뼈/관절,피부/모질
튼실,튼실,1,요크셔테리어,5,14,노령,눈/귀,피부/모질
튼튼이,튼튼이,1,요크셔테리어,2,5,심장,호흡기,뼈/관절
티나,티나,1,골든 리트리버,23,5,비만,치아/구강,뼈/관절
티모1,티모1,0,아비시니안,5,2,피부/모질,,
티모2,티모2,1,믹스견,4.2,7,치아/구강,뼈/관절,
티미,티미,1,기타,9,4,치아/구강,피부/모질,
파니,파니,1,말티즈,3.4,7,노령,비만,뼈/관절
파랑이,파랑이,1,말티즈,4,2,치아/구강,호흡기,
파피,파피,1,포메라니안,3.3,1,장,,
팡이2,팡이2,1,믹스견,4,6,행동,,
팡이3,팡이3,1,믹스견,4,6,치아/구강,,
팡이4,팡이4,1,믹스견,4,6,치아/구강,행동,
팡팡,팡팡,1,말티즈,3,3,뼈/관절,알러지,치아/구강
패리,패리,0,먼치킨,3,3,알러지,행동,치아/구강
펄,펄,0,페르시안,3,2,장,치아/구강,호흡기
페르시안,페르시안,0,페르시안,3.5,6,치아/구강,뼈/관절,피부/모질
포가,포가,1,푸들,7.1,5,알러지,노령,
포도1,포도1,1,믹스견,12,6,눈/귀,치아/구강,신장/요로
포도2,포도2,1,믹스견,12,6,치아/구강,,
포도3,포도3,0,믹스묘,5,6,신장/요로,눈/귀,피부/모질
포도5,포도5,1,말티즈,2,7,노령,호흡기,뼈/관절
포미,포미,1,포메라니안,2.3,4,뼈/관절,,
포코1,포코1,1,포메라니안,5.2,3,알러지,뼈/관절,피부/모질
포코4,포코4,1,포메라니안,5.2,3,치아/구강,뼈/관절,피부/모질
포포5,포포5,1,포메라니안,4,2,알러지,비만,
포포6,포포6,1,포메라니안,2.5,3,치아/구강,,
포포리,포포리,1,비숑 프리제,6,4,알러지,피부/모질,
폴2,폴2,0,코리안 쇼트헤어,6,9,노령,치아/구강,호흡기
폴카,폴카,1,말티즈,2,3,알러지,치아/구강,피부/모질
폼피츠,폼피츠,1,믹스견,5,6,행동,,
퐁듀,퐁듀,0,코리안 쇼트헤어,8,4,비만,장,
퐁미,퐁미,1,포메라니안,5,3,비만,치아/구강,눈/귀
푸1,푸1,1,푸들,4,12,뼈/관절,신장/요로,노령
푸2,푸2,1,푸들,4,12,노령,신장/요로,심장
푸들,푸들,1,믹스견,3,19,노령,장,심장
푸리,푸리,1,푸들,8,1,비만,눈/귀,
푸스,푸스,0,샴,4.7,7,노령,눈/귀,뼈/관절
푸틴,푸틴,0,러시안 블루,4,3,신장/요로,눈/귀,뼈/관절
프스,프스,1,푸들,6,15,노령,치아/구강,눈/귀
프이,프이,0,러시안 블루,3,12,노령,눈/귀,
피오나,피오나,1,믹스견,15,3,비만,,
핀추,핀추,1,미니어쳐 핀셔,5,3,행동,눈/귀,호흡기
핑크,핑크,1,말티즈,3,14,노령,눈/귀,피부/모질
하나1,하나1,1,시바견,10,1,행동,피부/모질,
하나2,하나2,1,요크셔테리어,3,2,노령,행동,뼈/관절
하나4,하나4,1,골든 리트리버,33,8,행동,,
하늘1,하늘1,1,말티즈,3.5,1,장,눈/귀,피부/모질
하늘3,하늘3,0,페르시안,4,7,노령,신장/요로,눈/귀
하늘이2,하늘이2,1,웰시 코기,12,3,행동,,
하니1,하니1,1,비숑 프리제,7,3,장,뼈/관절,
하니3,하니3,1,웰시 코기,8,7,비만,행동,
하랑이,하랑이,0,코리안 쇼트헤어,6,8,노령,비만,치아/구강
하루1,하루1,0,브리티시 쇼트헤어,5,3,알러지,치아/구강,눈/귀
하루2,하루2,0,코리안 쇼트헤어,4,3,비만,장,행동
하루4,하루4,1,말티즈,5,11,알러지,행동,피부/모질
하루5,하루5,1,믹스견,5.2,12,심장,호흡기,신장/요로
하루6,하루6,1,말티즈,3,13,노령,눈/귀,호흡기
하비3,하비3,1,말티즈,3,2,치아/구강,뼈/관절,
하양,하양,0,코리안 쇼트헤어,5,13,노령,비만,치아/구강
하양이,하양이,0,아메리칸 쇼트헤어,4,7,비만,치아/구강,눈/귀
하이,하이,1,말티즈,2.9,10,노령,장,눈/귀
하트,하트,0,터키시 앙고라,4,2,알러지,행동,
학돌이,학돌이,0,러시안 블루,4,9,노령,신장/요로,심장
한모,한모,1,말티즈,5,6,알러지,눈/귀,피부/모질
해로,해로,1,말티즈,3,4,알러지,치아/구강,호흡기
해리1,해리1,1,요크셔테리어,5,5,치아/구강,뼈/관절,피부/모질
해리2,해리2,0,믹스묘,7,6,장,행동,
해리4,해리4,1,푸들,5,11,노령,비만,알러지
해리5,해리5,1,말티즈,5,14,노령,눈/귀,
해머,해머,1,프렌치 불독,12,6,노령,호흡기,
해피1,해피1,1,말티즈,3,1,행동,,
해피10,해피10,0,기타,6,5,장,눈/귀,호흡기
해피11,해피11,1,미니어쳐 핀셔,5,6,눈/귀,피부/모질,
해피13,해피13,1,시츄,6,9,노령,,
해피15,해피15,1,포메라니안,2.5,10,노령,눈/귀,피부/모질
해피16,해피16,1,말티즈,3,12,노령,눈/귀,뼈/관절
해피17,해피17,1,말티즈,3,14,노령,신장/요로,치아/구강
해피2,해피2,1,요크셔테리어,3.3,1,피부/모질,,
해피4,해피4,1,푸들,3.3,2,행동,,
해피7,해피7,0,코리안 쇼트헤어,7,3,비만,,
해피8,해피8,1,치와와,4,4,비만,,
해피9,해피9,1,푸들,7,5,알러지,눈/귀,
햄,햄,1,믹스견,3.5,5,알러지,장,치아/구강
햇님1,햇님1,0,기타,4,5,노령,비만,피부/모질
햇님2,햇님2,1,시츄,3,17,노령,눈/귀,
햇반3,햇반3,1,말티즈,6,7,비만,알러지,치아/구강
햇밧,햇밧,1,말티즈,6,7,비만,알러지,치아/구강
행복,행복,0,러시안 블루,5,3,행동,,
행복이1,행복이1,1,푸들,3,3,행동,,
행복이2,행복이2,1,믹스견,4,6,치아/구강,행동,
행복이4,행복이4,1,코커 스패니얼,8,8,노령,비만,눈/귀
행운이,행운이,1,보더 콜리,23,2,비만,피부/모질,
허스,허스,1,시베리안 허스키,7,5,비만,당뇨,
헤보,헤보,1,믹스견,5,12,비만,치아/구강,호흡기
현미,현미,0,코리안 쇼트헤어,5,2,장,행동,
현지,현지,1,푸들,2.3,9,노령,뼈/관절,치아/구강
현지 ,현지 ,1,푸들,2.3,9,노령,치아/구강,뼈/관절
호돌이,호돌이,1,믹스견,10,2,당뇨,치아/구강,피부/모질
호동1,호동1,1,말티즈,2,8,치아/구강,뼈/관절,피부/모질
호동2,호동2,1,말티즈,2,8,노령,치아/구강,뼈/관절
호두10,호두10,1,요크셔테리어,2.5,10,노령,치아/구강,호흡기
호두2,호두2,1,믹스견,6,2,알러지,눈/귀,
호두3,호두3,1,푸들,4,3,행동,치아/구강,
호두4,호두4,1,말티즈,3,3,알러지,호흡기,피부/모질
호두5,호두5,1,포메라니안,3,3,노령,장,뼈/관절
호두6,호두6,1,믹스견,12,4,비만,신장/요로,행동
호두7,호두7,1,푸들,6,6,장,치아/구강,
호두9,호두9,1,요크셔테리어,2.5,10,노령,비만,치아/구강
호랑2,호랑2,0,코리안 쇼트헤어,7,9,노령,비만,치아/구강
호야10,호야10,1,기타,4,6,행동,,
호야11,호야11,1,포메라니안,3,9,노령,신장/요로,심장
호야3,호야3,1,푸들,8,3,알러지,,
호야4,호야4,1,치와와,2,4,장,뼈/관절,
호야5,호야5,1,골든 리트리버,35,5,장,,
호야6,호야6,1,골든 리트리버,35,5,신장/요로,장,
호야7,호야7,1,골든 리트리버,35,5,신장/요로,심장,
호야8,호야8,1,골든 리트리버,35,5,장,신장/요로,눈/귀
호야9,호야9,1,믹스견,4,6,행동,,
호잉,호잉,1,말티즈,4,10,노령,심장,호흡기
호치,호치,0,믹스묘,5.2,11,노령,비만,피부/모질
홍시,홍시,0,믹스묘,4,3,치아/구강,,
홍철,홍철,0,코리안 쇼트헤어,5,9,신장/요로,치아/구강,
화이트1,화이트1,1,믹스견,5,6,행동,,
황금,황금,1,기타,20,3,행동,피부/모질,
황금이,황금이,1,골든 리트리버,5,3,비만,눈/귀,호흡기
회몽,회몽,0,터키시 앙고라,4,3,장,치아/구강,
후추1,후추1,0,랙돌,2,1,비만,장,피부/모질
후추2,후추2,0,페르시안,6,2,행동,,
후추3,후추3,0,믹스묘,6,5,치아/구강,,
훈이,훈이,1,푸들,7,6,치아/구강,뼈/관절,행동
희망이,희망이,1,골든 리트리버,35,3,피부/모질,,
흰둥이3,흰둥이3,1,말티즈,4,3,피부/모질,,
흰둥이4,흰둥이4,1,말티즈,3.2,6,비만,심장,호흡기
흰둥이5,흰둥이5,0,페르시안,3.8,8,노령,신장/요로,치아/구강
히,히,1,믹스견,10,5,비만,호흡기,뼈/관절
히로,히로,0,러시안 블루,5,16,노령,신장/요로,치아/구강